,id,true_class,cam_prediction,cam_certainty,cam_first_prob_pcc,cam_second_prob_pcc,cam_true_class_pcc,cam_all_probas
0,aeroplane_2011_001962.jpg,aeroplane,aeroplane,0.9998303651809692,0.38003299934954676,0.2690754157959712,0.38003299934954676,"[('aeroplane', 0.99983037), ('boat', 0.00010107423), ('dog', 1.9047477e-05), ('motorbike', 1.7029686e-05), ('bicycle', 1.4523885e-05), ('diningtable', 1.4226935e-05), ('horse', 3.435414e-06), ('cat', 8.5918494e-08), ('sofa', 7.751303e-08), ('cow', 5.721757e-08)]"
1,aeroplane_2008_006109.jpg,aeroplane,aeroplane,0.8998266458511353,0.7497286238212234,0.42696168270536244,0.7497286238212234,"[('aeroplane', 0.89982665), ('dog', 0.041474823), ('bicycle', 0.029067736), ('cat', 0.012696071), ('horse', 0.010110083), ('boat', 0.0015485532), ('motorbike', 0.0015231029), ('cow', 0.0014675193), ('diningtable', 0.0012454467), ('sofa', 0.0010400584)]"
2,aeroplane_2011_002993.jpg,aeroplane,aeroplane,0.9942083358764648,0.5933600112334664,0.6939587447469064,0.5933600112334664,"[('aeroplane', 0.99420834), ('cat', 0.002379377), ('dog', 0.0011357393), ('motorbike', 0.0007023247), ('horse', 0.00049112155), ('bicycle', 0.00046220337), ('boat', 0.00041199708), ('cow', 0.00016274572), ('sofa', 3.3038392e-05), ('diningtable', 1.3082156e-05)]"
3,aeroplane_2009_002047.jpg,aeroplane,aeroplane,0.9999749660491943,0.19058774095022718,0.4434284323715941,0.19058774095022718,"[('aeroplane', 0.99997497), ('horse', 2.3622879e-05), ('dog', 1.1223553e-06), ('motorbike', 1.7295018e-07), ('cow', 8.876508e-08), ('bicycle', 2.5130875e-08), ('boat', 2.2218268e-08), ('sofa', 1.283089e-09), ('diningtable', 3.7578077e-10), ('cat', 1.7070123e-10)]"
4,aeroplane_2009_001372.jpg,aeroplane,aeroplane,0.9999140501022339,0.6195405797592356,0.293686844108097,0.6195405797592356,"[('aeroplane', 0.99991405), ('cow', 6.595811e-05), ('horse', 8.790607e-06), ('boat', 7.865239e-06), ('bicycle', 2.876155e-06), ('motorbike', 2.6245806e-07), ('dog', 1.6069328e-07), ('cat', 4.694484e-08), ('diningtable', 4.0495003e-08), ('sofa', 1.4103034e-08)]"
5,aeroplane_2008_005078.jpg,aeroplane,aeroplane,0.9999997615814209,0.04879659493244026,-0.09404880632853949,0.04879659493244026,"[('aeroplane', 0.99999976), ('cow', 1.4562937e-07), ('boat', 8.983129e-08), ('motorbike', 1.6145502e-09), ('horse', 2.2390541e-10), ('diningtable', 4.0323522e-11), ('sofa', 1.3366426e-11), ('dog', 3.940384e-12), ('bicycle', 2.6401407e-12), ('cat', 1.4544328e-12)]"
6,aeroplane_2009_001858.jpg,aeroplane,aeroplane,0.996035635471344,0.8993326335566634,0.688655500750123,0.8993326335566634,"[('aeroplane', 0.99603564), ('cat', 0.0011376585), ('dog', 0.00090442656), ('bicycle', 0.00059517846), ('cow', 0.00049083127), ('motorbike', 0.00039551582), ('horse', 0.00022874464), ('diningtable', 9.204919e-05), ('boat', 8.537828e-05), ('sofa', 3.4580495e-05)]"
7,aeroplane_2011_002132.jpg,aeroplane,aeroplane,0.9879343509674072,0.5650277223905893,0.49345543024633076,0.5650277223905893,"[('aeroplane', 0.98793435), ('cat', 0.0059085125), ('motorbike', 0.0020495742), ('sofa', 0.0020399245), ('bicycle', 0.0012241788), ('dog', 0.0006350468), ('cow', 9.653388e-05), ('horse', 9.0065405e-05), ('boat', 2.072415e-05), ('diningtable', 1.0867286e-06)]"
8,aeroplane_2011_000329.jpg,aeroplane,aeroplane,0.999990701675415,0.3002510689315164,0.5613144378357102,0.3002510689315164,"[('aeroplane', 0.9999907), ('boat', 6.4827477e-06), ('cat', 8.7911087e-07), ('cow', 6.3289247e-07), ('dog', 5.3007335e-07), ('horse', 4.318031e-07), ('sofa', 2.2864057e-07), ('motorbike', 5.17405e-08), ('diningtable', 4.1156497e-08), ('bicycle', 1.43697365e-08)]"
9,aeroplane_2011_002851.jpg,aeroplane,aeroplane,1.0,0.4616232965826751,0.6822784812089355,0.4616232965826751,"[('aeroplane', 1.0), ('boat', 2.2912836e-09), ('horse', 5.907354e-10), ('motorbike', 2.0567816e-10), ('bicycle', 4.445363e-11), ('sofa', 1.23154e-11), ('cat', 7.492327e-12), ('dog', 6.4496056e-12), ('diningtable', 6.1824226e-12), ('cow', 1.1080076e-12)]"
10,aeroplane_2009_002714.jpg,aeroplane,aeroplane,0.9999997615814209,0.8845262632548333,0.5583810479298008,0.8845262632548333,"[('aeroplane', 0.99999976), ('boat', 1.4278594e-07), ('cat', 5.5518743e-08), ('horse', 5.1560296e-08), ('dog', 5.7796212e-09), ('diningtable', 2.1593738e-09), ('sofa', 7.0970757e-10), ('cow', 6.693308e-10), ('motorbike', 1.9848086e-10), ('bicycle', 1.5987368e-10)]"
11,aeroplane_2008_006980.jpg,aeroplane,aeroplane,0.999966025352478,0.7202815082257482,0.6333486018073864,0.7202815082257482,"[('aeroplane', 0.999966), ('cow', 2.0030584e-05), ('boat', 7.725401e-06), ('horse', 1.5807634e-06), ('dog', 1.5431057e-06), ('sofa', 1.5120748e-06), ('bicycle', 1.001085e-06), ('motorbike', 5.896846e-07), ('cat', 1.0608218e-08), ('diningtable', 2.5029083e-09)]"
12,aeroplane_2009_001927.jpg,aeroplane,aeroplane,0.9775826334953308,0.7607427238026016,0.7729342249021786,0.7607427238026016,"[('aeroplane', 0.97758263), ('dog', 0.008603978), ('cat', 0.007082047), ('horse', 0.0034085354), ('boat', 0.0016288877), ('bicycle', 0.00070340914), ('motorbike', 0.0005971134), ('diningtable', 0.0002820626), ('sofa', 6.742615e-05), ('cow', 4.4025586e-05)]"
13,aeroplane_2008_001468.jpg,aeroplane,aeroplane,0.9340677261352539,0.1390368858034153,0.3926046184433983,0.1390368858034153,"[('aeroplane', 0.9340677), ('boat', 0.035795137), ('motorbike', 0.01728444), ('dog', 0.011103786), ('horse', 0.0008710383), ('bicycle', 0.00040458166), ('cat', 0.00035556022), ('cow', 8.618733e-05), ('diningtable', 2.078948e-05), ('sofa', 1.0801867e-05)]"
14,aeroplane_2010_001017.jpg,aeroplane,aeroplane,0.9999109506607056,0.8799712115184132,0.6044837238603106,0.8799712115184132,"[('aeroplane', 0.99991095), ('dog', 6.0957358e-05), ('horse', 1.5706408e-05), ('cat', 6.2681374e-06), ('bicycle', 2.7038636e-06), ('boat', 2.1674416e-06), ('diningtable', 5.73809e-07), ('cow', 3.3230998e-07), ('sofa', 2.9357201e-07), ('motorbike', 2.4564994e-08)]"
15,aeroplane_2009_002798.jpg,aeroplane,aeroplane,0.9941372871398926,0.4016063515948536,0.3606789028605261,0.4016063515948536,"[('aeroplane', 0.9941373), ('dog', 0.0053290236), ('horse', 0.00024055883), ('boat', 0.00018211923), ('motorbike', 0.000101517566), ('cow', 6.667231e-06), ('bicycle', 1.4295396e-06), ('cat', 1.2776239e-06), ('diningtable', 2.8718503e-08), ('sofa', 1.7840671e-08)]"
16,aeroplane_2009_003806.jpg,aeroplane,aeroplane,1.0,0.6490498834385341,0.5686272408237092,0.6490498834385341,"[('aeroplane', 1.0), ('motorbike', 2.7909461e-11), ('horse', 2.6006341e-11), ('boat', 6.818459e-12), ('bicycle', 1.4839086e-12), ('cow', 2.4422847e-13), ('diningtable', 1.8084864e-13), ('dog', 1.4243736e-13), ('cat', 9.892629e-15), ('sofa', 4.0603123e-16)]"
17,aeroplane_2010_001139.jpg,aeroplane,aeroplane,0.7503356337547302,0.13114574230791212,0.45767581237002347,0.13114574230791212,"[('aeroplane', 0.75033563), ('boat', 0.2321259), ('motorbike', 0.0041473815), ('bicycle', 0.004115401), ('sofa', 0.0032555317), ('diningtable', 0.0026088823), ('cat', 0.0025543557), ('dog', 0.00066112576), ('horse', 0.00010243886), ('cow', 9.337275e-05)]"
18,aeroplane_2008_004646.jpg,aeroplane,diningtable,0.8513469099998474,-0.08520549597372426,-0.23584256245855256,-0.23584256245855256,"[('diningtable', 0.8513469), ('aeroplane', 0.13384217), ('boat', 0.012858263), ('bicycle', 0.0011017635), ('cat', 0.00032164916), ('motorbike', 0.00021838897), ('dog', 0.00021375463), ('cow', 4.3641114e-05), ('sofa', 3.3693857e-05), ('horse', 1.9771398e-05)]"
